iter	RMSE
0	0.3742090112
1	0.3498238641
2	0.328382011
3	0.3091423557
4	0.2919093135
5	0.27502279
6	0.2607505145
7	0.2480409028
8	0.2365661435
9	0.2253646148
10	0.2164122866
11	0.2078226631
12	0.1998070625
13	0.192114632
14	0.1848264265
15	0.1780977373
16	0.1722435333
17	0.1678305466
18	0.1637984182
19	0.1601049341
20	0.1566524835
21	0.1529501026
22	0.150144749
23	0.14694188
24	0.1440985574
25	0.1413500014
26	0.1386268008
27	0.136200351
28	0.1339384313
29	0.1323394639
30	0.130434723
31	0.1286971761
32	0.1266773334
33	0.1252446784
34	0.123881618
35	0.1225639792
36	0.1215587085
37	0.1206769717
38	0.1195997448
39	0.1184584251
40	0.1171366141
41	0.116178766
42	0.1151494153
43	0.1139320724
44	0.1130703682
45	0.1121320953
46	0.1114237075
47	0.1104808674
48	0.1097112039
49	0.1092742227
50	0.1086255804
51	0.1078172409
52	0.1073922453
53	0.1067707018
54	0.1062035171
55	0.1057267865
56	0.1053016733
57	0.1047192825
58	0.1042417317
59	0.1035502682
60	0.1030285162
61	0.1025900676
62	0.1022336427
63	0.101721746
64	0.1011330565
65	0.1005084538
66	0.09997814868
67	0.09939947908
68	0.09906328918
69	0.09857825296
70	0.0983623293
71	0.09805954619
72	0.09763459551
73	0.097189211
74	0.09686692952
75	0.09645164136
76	0.09606034073
77	0.09563672353
78	0.09512097893
79	0.0946871367
80	0.09450047393
81	0.094287574
82	0.09402066192
83	0.09372783788
84	0.09351698802
85	0.09310051279
86	0.09230320096
87	0.09221754208
88	0.09183575319
89	0.09156124548
90	0.09140975642
91	0.09075252273
92	0.09036968097
93	0.08988049989
94	0.08951034883
95	0.08912145004
96	0.08873221722
97	0.08857360622
98	0.08812824062
99	0.08799181808
100	0.08774987715
101	0.08743021453
102	0.08721785596
103	0.08708956276
104	0.08690277488
105	0.08654140477
106	0.08613039802
107	0.08597989214
108	0.08588656143
109	0.08534806243
110	0.08502564709
111	0.08467038622
112	0.08433391794
113	0.08412243504
114	0.08383340814
115	0.08334917587
116	0.08297636585
117	0.08248760044
118	0.08220978091
119	0.08186230019
120	0.08142968635
121	0.08095865178
122	0.08070614686
123	0.08039405242
124	0.08012921518
125	0.07981078392
126	0.07946443218
127	0.07942891743
128	0.07908272696
129	0.0787504346
130	0.07851724015
131	0.07820126106
132	0.07775496246
133	0.07733477592
134	0.07715393398
135	0.07688475416
136	0.07672371693
137	0.07653072622
138	0.07649551441
139	0.07620475095
140	0.07595066764
141	0.0757774261
142	0.07545892339
143	0.07522441715
144	0.07484759045
145	0.07452477345
146	0.07419760527
147	0.07380915568
148	0.07363957952
149	0.07358080405
150	0.07338892132
151	0.07308302574
152	0.07288217064
153	0.0725144314
154	0.07222209182
155	0.07212712069
156	0.0717929574
157	0.07140372722
158	0.07136483121
159	0.07100947135
160	0.07098024758
161	0.0707180725
162	0.07035953176
163	0.07032147577
164	0.07029774761
165	0.07006953014
166	0.06981384272
167	0.06978805389
168	0.06952331162
169	0.06924359936
170	0.06916544452
171	0.06895402468
172	0.06872666415
173	0.06869528795
174	0.06851183684
175	0.06821500222
176	0.06807655937
177	0.06804241329
178	0.06783737622
179	0.0676832359
180	0.06741329732
181	0.06738501901
182	0.06727071618
183	0.06694749401
184	0.06693120446
185	0.06666190573
186	0.06649396042
187	0.06616183934
188	0.06584830159
189	0.06561364735
190	0.06539150371
191	0.06521351045
192	0.06497006159
193	0.06494271293
194	0.06474677985
195	0.0646498523
196	0.06454728823
197	0.06430425355
198	0.06416964874
199	0.06406561506
200	0.06403931206
201	0.0638867634
202	0.0635969008
203	0.06339174915
204	0.06323431227
205	0.06320184944
206	0.06294341862
207	0.0627956526
208	0.06259763086
209	0.06232662026
210	0.06206930947
211	0.06186153725
212	0.06164497591
213	0.06141371842
214	0.0612498261
215	0.06098917764
216	0.06071984529
217	0.06064504918
218	0.06062403573
219	0.06060076839
220	0.06055071215
221	0.06042605805
222	0.06026446907
223	0.060067994
224	0.05976651534
225	0.05958225384
226	0.05945576753
227	0.05942416122
228	0.05939896791
229	0.05911190846
230	0.05895132347
231	0.05892457959
232	0.05875334411
233	0.05864084821
234	0.05862519436
235	0.05846713468
236	0.05837796781
237	0.05826648204
238	0.05814159938
239	0.05790607264
240	0.05769386258
241	0.05764379519
242	0.05754626924
243	0.05741114994
244	0.05726816773
245	0.05724929221
246	0.05723322708
247	0.05697042895
248	0.05682761217
249	0.05662933206
250	0.05641879602
251	0.05628650048
252	0.05615085591
253	0.05596422998
254	0.05578778973
255	0.05577379997
256	0.05574895255
257	0.055579627
258	0.05530038533
259	0.05525292765
260	0.05510275067
261	0.05488773752
262	0.05486953408
263	0.05470356415
264	0.05459586949
265	0.05439788063
266	0.05430846306
267	0.0541938182
268	0.05399259159
269	0.05387449788
270	0.05386036938
271	0.05356844281
272	0.05354298395
273	0.05330736473
274	0.05317024697
275	0.05306103921
276	0.05299233359
277	0.05278066731
278	0.05269783237
279	0.05254817947
280	0.05245965513
281	0.05230029174
282	0.05208909989
283	0.05201116714
284	0.05177816446
285	0.05158105904
286	0.05146397391
287	0.05134551335
288	0.05122759617
289	0.05094252141
290	0.05076135259
291	0.05074099469
292	0.05063384537
293	0.05054579246
294	0.05039154331
295	0.05029925242
296	0.05014826437
297	0.05001737049
298	0.04980600908
299	0.0496971678
