iter	RMSE
0	0.3987242857
1	0.3962417231
2	0.3960221098
3	0.3934375835
4	0.3912258885
5	0.3888197019
6	0.3862599527
7	0.3836459894
8	0.3812886079
9	0.3790945967
10	0.3767160481
11	0.3743823605
12	0.3720548448
13	0.3699521292
14	0.3678541486
15	0.3656405609116	0.3632709458117	0.3610679121118	0.3588617862119	0.3567691763
20	0.354704193421	0.350598799
2222	0.350407887
23	0.34825574924	0.3445150124
25	0.3423347597
26	0.3402965653
2727	0.3401660321
28	0.3383883293
29	0.3364113271
30	0.334504205
31	0.3325498912
32	0.330711267
33	0.3289174743
34	0.3268806991
35	0.3249916751
36	0.3230965509
37	0.3215031924
38	0.3197083657
39	0.3177685946
40	0.3160973311
41	0.3144022094
42	0.3127812931
43	0.3111226793
44	0.3093594669
45	0.3076104809
46	0.3059884294
47	0.3043679448
48	0.3029199923
49	0.30134264250	0.2941219931
51	0.292543839
52	52	0.2965052242
53	0.2949101173
54	0.2934063939
55	0.2918501887
56	0.2902319093
57	0.2887825534
58	0.2872333723
59	0.2857718683
60	0.2843455499
61	0.2828993268
62	0.281424151863	0.2805543965
64	0.279214138
65	0.2779263932
6666	0.2756989426767	0.274297256
68	0.2729293215
69	0.2715294914
70	0.270095686671	0.2697973552
72	0.2684688498
73	0.2672080176
74	0.2648450969
75	0.2635651392
76	0.2622332029
77	0.2608437531
78	0.2594812249
79	0.2583270711
80	0.2570359641
81	0.2558295908
82	0.2547171588
83	0.253544975484	0.2535478656
85	0.2523885569
86	0.2512572104
87	0.250111074188	0.2477030476
89	0.2465426592
90	0.2454656093
91	0.2443732662
92	0.2432719646
93	0.2421518457
94	0.2410044739
95	0.2398880935
96	0.2388319461
97	0.2378464287
98	0.2368322623
99	0.2357437702
100	0.2348344917
101	0.2337881466
102	0.23274619
103	0.2318268665
104	0.2308534555
105	0.2298400964
106	0.2288330772
107	0.2278296226
108	0.2268619415
109	0.2258455931
110	0.2249912228
111	0.224036855
112	0.2232186593
113	0.222398250114	0.2227051288
1115	0.2206776809
116	0.2198318159
117	0.2190126646
118	0.2181491362
119	0.2173292251
120	0.2164887
121	0.2156367879
122	0.2147818211
123	0.2139490028
124	0.2131415466
125	0.2123389873
126	0.2115468099
127	0.2106985863
128	0.2099545398
129	0.2091793705
130	0.2083509089
131	0.2075981153
132	0.2068431915
133	0.2060320673
134	0.2052883762
135	0.2045162298
136	0.2038130598
137	0.2030429171
138	0.2023577672
139	0.2016889315
140	0.2010110969
141	0.2003010188
142	0.1996907736
143	0.1990733156
144	0.198367502145	0.1990859042
146	0.1984594581
147	0.1978748514
148	0.1972211846
149	0.1965103911
150	0.1958844392
151	0.1951635113
152	0.1945372326
153	0.1939465877
154	0.1933363053
155	0.1927941555
156	0.1922824029
157	0.1916455493
158	0.19103094111159	0.19046334251160	0.1899283345
161	0.189269153
162	0.1886323024
163	0.1879679447
164	0.1873856678
165	0.1868563771
166	0.1863020853
167	0.1857179715
168	0.1850825959
169	0.1845021675
170	0.1840406783
171	0.1834269292
172	0.1829046636
173	0.1823289007
174	0.1817647637
175	0.1812843481
176	0.1807971571
177	0.1802744492
178	0.1796989175
179	0.1792014931
180	0.1786663589
181	0.178238057
182	0.1776793092
183	0.1772043501
184	0.1768023878
185	0.1763159561
186	0.175765634
187	0.1752716078
188	0.1747990695
189	0.1743647445
190	0.1738110771
191	0.1732998424
192	0.1728735385
193	0.1724781383
194	0.172077917
195	0.1716298157
196	0.1711983416
197	0.1707983246
198	0.1702983045
199	0.1698788308
200	0.1693839814
201	0.1689108824
202	0.1685128256
203	0.1680529765
204	0.1676729447
205	0.1672237388
206	0.1668233122
207	0.1664227241
208	0.1659961389
209	0.1656369311
210	0.1652325075
211	0.1648075329
212	0.1644749971
213	0.1641240573
214	0.1637808195
215	0.1634151909
216	0.1630506846
217	0.1626290187
218	0.1622946904
219	0.1619375797
220	0.1614973102
221	0.161132128
222	0.160824005
223	0.1604691427
224	0.160074413
225	0.1597117307
226	0.1594033493
227	0.159041688
228	0.1586778926
229	0.158273135
230	0.1580231693
231	0.1577056811
232	0.157359996
233	0.1570092297
234	0.1566916979
235	0.156365388
236	0.1560278629
237	0.1556663917
238	0.1553098503
239	0.1549601197
240	0.1546670528
241	0.1544240944
242	0.1540779894
243	0.1537223638
244	0.1533463497
245	0.1530701214
246	0.1527942464
247	0.1524876542
248	0.1521799782
249	0.1519055198
250	0.1516070933
251	0.1513580557
252	0.1510809566
253	0.1508236187
254	0.1505457046
255	0.1502413866
256	0.1500059154
257	0.1496460859
258	0.1493382638
259	0.1490540652
260	0.1487716262
261	0.1485175823
262	0.1482551305
263	0.1479817634
264	0.1477550343
265	0.1474818742
266	0.1472255616
267	0.1469258165
268	0.1466720747
269	0.1464012114
270	0.1461387247
271	0.1458789563
272	0.1456146543
273	0.1453846542
274	0.1451543309
275	0.1449189876
276	0.1446852437
277	0.1444364277
278	0.1442226206
279	0.143975746
280	0.1437396832
281	0.1435366277
282	0.1432878456
283	0.1430739859
284	0.1429099658
285	0.142680373
286	0.1424975671
287	0.1422920423
288	0.1420739324
289	0.1418554104
290	0.1416453651
291	0.1414084706
292	0.1412272178
293	0.141016239
294	0.1408164461
295	0.1405595296296	0.1368215007
297	0.1366070971
298	0.1364000605
299	0.1362002255
300	0.1360147165
301	0.1358605352
302	0.1356520796
303	0.1354541914
304	0.1352833558
305	0.1350597187
306	0.1348333328
307	0.1346519031
308	0.1344280845
309	0.134244916
310	0.1340531128
311	0.1338813707
312	0.1337057244
313	0.1335617855
314	0.1333906237
315	0.133221423
316	0.1330928128
317	0.1328726479
318	0.1326991163
319	0.1324851064
320	0.1322776991
321	0.1321206553
322	0.1319627128
323	0.1317319436
324	0.1315820358
325	0.1314135741
326	0.1311840138
327	0.1310379059
328	0.130855516
329	0.1307040741
330	0.1305373707
331	0.130395371
332	0.1302178247
333	0.1300467524
334	0.1298875587
335	0.1297638324
336	0.1295943542
337	0.1294322757
338	0.1292772579
339	0.1291327539
340	0.1289722945
341	0.128860463
342	0.1286909582
343	0.128566344	0.1291533046
345	0.12899999
346	0.1288521014
347	0.1287167049
348	0.1285502591
349	0.1283879978
350	0.1282099786
351	0.1280806616
352	0.1279378661
353	0.1277918821
354	0.1276646272
355	0.1275486787
356	0.127429431
357	0.1273064006
358	0.1271399814
359	0.1270203131
360	0.1268832341
361	0.361	0.1259002129
362	0.125778098
363	0.1256462578
364	0.1254964789
365	0.125365307
366	0.1252481492
367	0.1250706006
368	0.1249280482
369	0.1247812058
370	0.1246659232
371	0.1245262887
372	0.1244149704
373	0.1243318013
374	0.124204976
375	0.1240783376	0.1246253999
377	0.1245043871
378	0.1243621272
379	0.1242015909
380	0.1240717102
381	0.1239605695
382	0.1238166606
383	0.1237036996
384	0.1235710221
385	0.1234362406
386	0.1233293124
387	0.1232235539
388	0.123072433
389	0.1229560799
390	0.1228375615
391	0.1227425851
392	0.1226283599
393	0.1225161134
394	0.1224043587
395	0.1222857137
396	0.1221718203
397	0.1220435339
398	0.1219517179
399	0.1218258804
400	0.1217197803
401	0.1216105609
402	0.1214824229
403	0.1213645951
404	0.1212602279
405	0.1211328489
406	0.1209985964
407	0.1208869723
408	0.120777162
409	0.1206829991
410	0.1205598626
411	0.120446133
412	0.1203041559
413	0.1202075017
414	0.1201096003
415	0.1200030275
416	0.1198987271
417	0.1197824307
418	0.1197089888
419	0.1196224386
420	0.1195361273
421	0.1194598672
422	0.1193630848
423	0.1192340295
424	0.1191150027
425	0.1189872916
426	0.1188899357
427	0.118774135
428	0.1186483581
429	0.1185762428
430	0.118485615
431	0.1184031935
432	0.1182776277
433	0.1182041434
434	0.1181142112
435	0.1180213505
436	0.1179130298
437	0.1178324678
438	0.1177427052
439	0.1176508463
440	0.1175335289
441	0.1174380041
442	0.1173415481
443	0.1172514103
444	0.1171479279
445	0.1170685354
446	0.1169667938
447	0.1168996053
448	0.1167960913
449	0.1167184871
450	0.1166079291
451	0.1164772289
452	0.1163559454
453	0.116245937
454	0.116167176
455	0.1161137882
456	0.1160175065
457	0.1158978925
458	0.1158251413
459	0.1157454342
460	0.1156531487
461	0.1155811486
462	0.1154968878
463	0.1153874125
464	0.1153370169
465	0.1152381655
466	0.1151576778
467	0.1150619675
468	0.1150004535
469	0.114910609
470	0.1148069997471	0.1138801209
472	0.1137643863
473	0.1136846388
474	0.1135970339
475	0.1134794435
476	0.113378224
477	0.1133035034
478	0.1132317961
479	0.1131144176
480	0.113060748
481	0.1129617645
482	0.112881074
483	0.1128041386
484	0.1127161756
485	0.1126564631
486	0.1125766387
487	0.1125042361
488	0.1124290283
489	0.1123307241
490	0.1122526608
491	0.1121884291
492	0.1121328148
493	0.1120483888
494	0.1119800032
495	0.1118906725
496	0.1118165235
497	0.1117349847
498	0.1116633027
499	0.1116038686
500	0.1115324167
501	0.111463048
502	0.1113687069
503	0.1112631627
504	0.1112027633
505	0.1111225166
506	0.1110706153
507	0.1109830524
508	0.1109035221
509	0.1108261533
510	0.1107567289
511	0.1106844819
512	0.110610806
513	0.1105213086
514	0.1104525093
515	0.1103915022
