iter	Passed	Remaining
0	71	214112
1	73	1099542	72	72360
3	89	67085
4	93	55772
5	95	47482
6	97	41695
7	99	37248
8	101	33802
9	104	31370
10	106	29073
11	113	28145
12	114	26423
13	118	25209
14	120	23945
15	122	22876
16	126	22163
17	132	21868
18	134	21104
19	138	20649
20	141	20112
21	154	20953
22	158	20458
23	160	19939
24	170	20286
25	182	20826
26	183	20236
27	193	20493
28	198	20299
29	201	19987
30	205	19653
31	214	19878
32	216	19454
33	219	19114
34	232	19705
35	240	19817
36	245	19669
37	251	19580
38	253	19227
39	255	18871
40	257	18553
41	260	18326
42	273	18836
43	276	18593
44	280	18408
45	285	18364
46	290	18231
47	486	29903
48	488	29414
49	489	2889850	504	29187
51	509	28863
552	548	30509
53	609	33266
54	611	32764
55	614	32328
56	617	31869
57	619	31412
58	630	31415
59	632	30980
60	634	30583
61	639	30322
62	641	29920
63	705	32365
64	741	33477
65	745	33126
66	752	32955
67	760	32791
68	764	32493
69	769	32226
70	772	31875
71	814	33140
72	818	32817
73	819	32420
74	860	33551
75	879	33832
76	886	33671
77	889	33321
78	907	33558
79	920	33590
80	924	33320
81	929	33075
82	931	32732
83	933	32422
84	948	32542
85	951	32254
86	988	33095
87	990	32764
88	1002	32779
89	1011	32711
90	1015	32453
91	1017	32149
92	1018	31842
93	1021	31586
94	1024	31319595	1105	33429
96	1107	33149
97	1109	32859
98	1115	32686
99	1136	32969
100	1188	34117
101	1190	33810
102	1191	33506
103	1193	33222
104	1195	32974
105	1197	32703
106	1243	33630
107	1246	33383
108	1248	33119
109	1250	32866
110	1293	33653
111	1295	33395
112	1298	33171
113	1301	3293114	1312	32930
11115	1357	33744
116	1359	33511
117	1364	33321
118	1482	35900
119	1484	35632
120	1491	35485
121	1493	35231
122	1495	34985
123	1500	34804
124	1502	34564
125	1504	34325
126	1506	34083
127	1508	33855
128	1510	33627
129	1587	35037
130	1590	34832
131	1592	34603
132	1594	34367
133	1596	34138
134	1597	33906
135	1636	34464
136	1702	35580
137	1703	35335
138	1705	35108
139	1706	34870
140	1708	34643
141	1709	34412
142	1711	34194
143	1712	33970
144	1713	3374145	1737	33957
146	1739	33755
147	1740	33535
148	1741	33323
149	1744	33141
150	1747	32971
151	1751	32821
152	1754	32638
153	1757	32481
154	1861	34164
155	1864	33983
156	1866	33794
157	1869	33635
158	1873	33467
159	1880	33375
160	1910	33692
161	1947	34113
162	1977	34420
163	2017	34887
164	2018	34689
165	2020	34491
166	2022	34305
167	2023	34118
168	2025	33929
169	2026	33743
170	2144	35472
171	2151	35367
172	2152	35176
173	2154	34994
174	2156	34815
175	2159	34646
176	2161	34475
177	2163	34303
178	2170	34199
179	2172	34029
180	2174	33859
181	2307	35720
182	2313	35612
183	2322	35542
184	2323	35359
185	2324	35172
186	2326	34989
187	2327	34808
188	2328	34631
189	2329	34455
190	2330	34278
191	2332	34107
192	2333	33934
193	2334	33763
194	2335	33593
195	2336	33423
196	2337	33257
197	2338	33092
198	2344	32997
199	2345	32838
200	2346	32680
201	2348	32532
202	2383	32845
203	2472	33893
204	2474	33733
205	2475	33582
206	2477	33430
207	2492	33451
208	2508	33501
209	2512	33374
210	2513	33229
211	2521	33164
212	2522	33011
213	2532	32972
214	2544	32965
215	2547	32829
216	2550	32710
217	2555	32610
218	2560	32519
219	2564	32406
220	2567	32286
221	2570	32162
222	2572	32036
223	2573	31898
224	2575	31769
225	2623	32207
226	2637	32221
227	2638	32083
228	2640	31948
229	2641	31814
230	2642	31678
231	2644	31548
232	2645	31412
233	2646	31278
234	2647	31150
235	2648	31022
236	2649	30893
237	2651	30768
238	2652	30639
239	2653	30513
240	2654	30390
241	2655	30267
242	2656	30145
243	2657	30021
244	2659	29903
245	2660	29788
246	2662	29679
247	2664	29565
248	2665	29451
249	2667	29337
250	2668	29224
251	2669	29113
252	2671	29003
253	2672	28893
254	2673	28783
255	2675	28674
256	2676	28569
257	2678	28465
258	2679	259	27259	2784	260	28260	2853	29941
261	2872	30020
262	2874	29914
263	2898	30041
264	2900	29934
265	2901	29826
266	2904	29725
267	2907	29638
268	2909	29533
269	2910	29425
270	2911	29319
271	2912	29213
272	2913	29105
273	2914	28999
274	2915	28892
275	2916	28788
276	2918	28685
277	2919	28583
278	2925	28536
279	2928	28444
280	2929	28349
281	2932	28261
282	2934	28168
283	2935	28070
284	2995	28537
285	3011	28575
286	3041	28755
287	3042	28654
288	3044	28556
289	3045	28456
290	3046	28358
291	3047	28261
292	3048	28164
293	3049	28070
294	3050	27974
295	3051	296	3091	28131
297	3092	28037
298	3096	27973
299	3101	27917
300	3105	27846
301	3109	27780
302	3115	27731
303	3118	27653
304	3121	27583
305	3127	27536
306	3129	27449
307	3130	27364
308	3132	27277
309	3133	27190
310	3135	27106
311	3136	27025
312	3139	26953
313	3337	28546
314	3338	28457
315	3340	28374
316	3342	28289
317	3346	28220
318	3349	28148
319	3352	28075
320	3354	27996
321	3357	27924
322	3409	28258
323	3467	28640
324	3476	28617
325	3479	28540
326	3482	28465
327	3485	28392
328	3488	28325
329	3493	28269
330	3495	28183
331	3497	28105
332	3498	28020
333	3534	28212
334	3536	28129
335	3537	28049
336	3539	27969
337	3541	27888
338	3542	27805
339	3543	27724
340	3545	27642
341	3546	27563
342	3547	27482
343	3549	27404344	3549	27318
345	3551	27245
346	3654	27938
347	3657	27874
348	3659	27794
349	3660	27712
350	3661	27631
351	3662	27553
352	3664	27480
353	3665	27401
354	3666	27320
355	3667	27240
356	3668	27162
357	3670	27085
358	3671	27007
359	3672	26931
360	3673	26855
3361	3802	27711
362	3806	27648
363	3809	27589
364	3812	27522
365	3816	27463
366	3821	27414
367	3824	27354
368	3827	27293
369	3878	27570
370	3895	27607
371	3903	27576
372	3904	27499
373	3905	27424
374	3907	27349
375	3908	27274376	3916	27245
377	3918	27177
378	3919	27107
379	3953	27260
380	3983	27382
381	3985	27312
382	3996	27306
383	3998	27240
384	4000	27171
385	4011	27163
386	4012	27094
387	4014	27027
388	4016	26958
389	4064	27199
390	4068	27148
391	4077	27128
392	4079	27059
393	4080	26990
394	4082	26921
395	4138	27214
396	4140	27145
397	4142	27084
398	4152	27066
399	4194	27261
400	4195	27194
401	4197	27126
402	4198	27058
403	4199	26988
404	4201	26919
405	4202	26850
406	4203	26782
407	4204	26713
408	4205	26644
409	4207	26575
410	4208	26508
411	4209	26440
412	4210	26373
413	4212	26310
414	4213	26248
415	4215	26183
416	4216	26117
417	4217	26050
418	4219	25992
419	4221	25931
420	4223	25871
421	4225	25812
422	4226	25748
423	4227	25686
424	4229	25627
425	4232	25573
426	4366	26309
427	4378	26311
428	4385	26282
429	4387	26223
430	4391	26175
431	4394	26122
432	4396	26065
433	4508	26658
434	4510	26596
435	4512	26535
436	4554	26714
437	4556	26652
438	4558	26592
439	4561	26538
440	4564	26484
441	4565	26424
442	4581	26443
443	4582	26380
444	4584	26322
445	4616	26435
446	4618	26376
447	4619	26315
448	4621	26258
